letter,font,scale_y_letter,scale_y_font,scale_offset_y,scale_offset_x,score
A,ShreeDev0714,1.360544218,1.344704084,-24,0,63
A,AppleSDGothicNeo-Regular,1.492537313,1.475586221,-20,0,66
A,BanglaSangamMN,1.470588235,1.450327477,-17,0,66
A,DevanagariSangamMN,1.470588235,1.450327477,-34,0,66
A,GujaratiSangamMN,1.19760479,1.180331752,-23,-0.5,66
A,GurmukhiSangamMN,1.470588235,1.450327477,-44,0,66
A,KannadaSangamMN,1.470588235,1.450327477,-41,0,66
A,KhmerSangamMN,1.449275362,1.428489768,-60,1,66
A,LaoSangamMN,1.470588235,1.450327477,-45,0,66
A,MalayalamSangamMN,1.470588235,1.450327477,-17,0,66
A,MyanmarSangamMN,1.470588235,1.450327477,-33,0,66
A,OriyaSangamMN,1.257861635,1.24021996,-30,-0.5,66
A,SinhalaSangamMN,1.470588235,1.450327477,-48,0,66
A,TamilSangamMN,1.470588235,1.450327477,-9,0,66
A,TeluguSangamMN,1.369863014,1.349660484,-33,-0.5,66
A,AlBayan,1.388888889,1.357285039,-34,0.5,69
A,AlNile,1.388888889,1.357285039,-12,0.5,69
A,AlTarikh,1.388888889,1.357285039,25,0.5,69
A,AppleGothic,1.282051282,1.267837982,-13,1,69
A,AppleSymbols,1.869158879,1.830990553,-21,0.5,69
A,ArialHebrew,1.388888889,1.357285039,2,0.5,69
A,ArialHebrewScholar,1.388888889,1.357285039,2,0.5,69
A,Baghdad,1.388888889,1.357285039,-24,0.5,69
A,CorsivaHebrew,1.388888889,1.357285039,16,0.5,69
A,Damascus,1.388888889,1.357285039,22,0.5,69
A,DamascusLight,1.388888889,1.357285039,22,0.5,69
A,DecoTypeNaskh,1.388888889,1.357285039,-59,0.5,69
A,DiwanKufi,1.388888889,1.357285039,-88,0.5,69
A,DiwanMishafi,1.388888889,1.357285039,-6,0.5,69
A,DiwanMishafiGold,1.388888889,1.357285039,-6,0.5,69
A,DiwanThuluth,1.388888889,1.357285039,-36,0.5,69
A,Farah,1.388888889,1.357285039,-2,0.5,69
A,Farisi,1.388888889,1.357285039,-49,0.5,69
A,GeezaPro,1.388888889,1.357285039,-21,0.5,69
A,HiraKakuPro-W3,1.315789474,1.298314558,-13,0,69
A,HiraKakuProN-W3,1.315789474,1.298314558,-13,0,69
A,HiraginoSans-W3,1.315789474,1.298314558,-13,0,69
A,HiraginoSansGB-W3,1.315789474,1.298314558,-13,0,69
A,Kailasa,1.388888889,1.357285039,-14,0.5,69
A,KufiStandardGK,1.388888889,1.357285039,-27,0.5,69
A,Lucida Sans Regular,1.388888889,1.357285039,-28,0.5,69
A,LucidaGrande,1.388888889,1.357285039,-30,0.5,69
A,LucidaSans,1.388888889,1.357285039,-28,0.5,69
A,MonotypeGurmukhi,1.388888889,1.357285039,-17,0.5,69
A,Muna,1.388888889,1.357285039,1,0.5,69
A,Nadeem,1.388888889,1.357285039,-24,0.5,69
A,NewPeninimMT,1.388888889,1.357285039,2,0.5,69
