letter,font,scale_y_letter,scale_y_font,scale_offset_y,scale_offset_x
A,ACaslonPro-Regular,1.342281879,1.358742545,0,0.5
A,AGaramondPro-Regular,1.470588235,1.452846117,-6,2
A,AdobeArabic-Regular,2.127659574,2.103309865,-57,0
A,AdobeDevanagari-Regular,1.62601626,1.616004432,-16,0.5
A,AdobeFanHeitiStd-Bold,1.315789474,1.294155249,-13,1
A,AdobeFangsongStd-Regular,1.333333333,1.32935918,-17,1
A,AdobeGothicStd-Bold,1.307189542,1.289151574,-13,2
A,AdobeHebrew-Regular,1.481481481,1.469420142,-6,0.5
A,AdobeHeitiStd-Regular,1.315789474,1.294155249,-13,1
A,AdobeKaitiStd-Regular,1.333333333,1.328869443,-17,0.5
A,AdobeMingStd-Light,1.351351351,1.353526288,-19,0
A,AdobeMyungjoStd-Medium,1.360544218,1.369850432,-20,0.5
A,AdobeNaskh-Medium,2.173913043,2.10559556,-24,0.5
A,AdobeSongStd-Light,1.5625,1.551189852,-36,0
A,AlBayan,1.388888889,1.357285039,-34,0.5
A,AlNile,1.388888889,1.357285039,-12,0.5
A,AlTarikh,1.388888889,1.357285039,25,0.5
A,AmericanTypewriter,1.481481481,1.449054543,-33,0.5
A,AndaleMono,1.459854015,1.438215154,-30,-0.5
A,Apple-Chancery,1.470588235,1.370502132,-59,-11
A,AppleBraille,1.324503311,1.297086098,-1,0.5
A,AppleColorEmoji,1.324503311,1.297086098,-29,0.5
A,AppleGothic,1.282051282,1.267837982,-13,1
A,AppleMyungjo,1.360544218,1.360017343,-18,0.5
A,AppleSDGothicNeo-Regular,1.492537313,1.475586221,-20,0
A,AppleSymbols,1.869158879,1.830990553,-21,0.5
A,Arial-Black,1.398601399,1.382812535,-52,0
A,ArialHebrew,1.388888889,1.357285039,2,0.5
A,ArialHebrewScholar,1.388888889,1.357285039,2,0.5
A,ArialMT,1.398601399,1.384324744,-25,0
A,ArialNarrow,1.398601399,1.384324744,-29,1
A,ArialRoundedMTBold,1.351351351,1.359660112,-32,1
A,ArialUnicodeMS,1.398601399,1.384324744,-48,0.5
A,Athelas-Regular,1.503759398,1.482612102,-32,0.5
A,Avenir-Black,1.418439716,1.402208199,-39,1
A,AvenirNext-Regular,1.418439716,1.402208199,-39,0.5
A,AvenirNextCondensed-Regular,1.418439716,1.404325479,-40,0
A,Ayuthaya,1.324503311,1.296293642,-38,0.5
A,Baghdad,1.388888889,1.357285039,-24,0.5
A,BanglaMN,1.333333333,1.331138612,-39,0.5
A,BanglaSangamMN,1.470588235,1.450327477,-17,0
A,Baskerville,1.492537313,1.465791626,-31,-1
A,Beirut,1.388888889,1.357285039,-3,0.5
A,BigCaslon-Medium,1.369863014,1.375987339,-28,0.5
A,BirchStd,1.342281879,1.342281879,0,1
A,BlackoakStd,1.342281879,1.33292108,0,-0.5
A,BodoniOrnamentsITCTT,1.156069364,1.079973518,-12,0.5
A,BodoniSvtyTwoITCTT-Book,1.408450704,1.402761642,-32,-2
A,BodoniSvtyTwoOSITCTT-Book,1.408450704,1.402761642,-32,-2
A,BodoniSvtyTwoSCITCTT-Book,1.408450704,1.402761642,-32,-2
A,BradleyHandITCTT-Bold,1.62601626,1.743291476,-66,10
A,BrushScriptMT,1.449275362,1.403977306,-38,-4
A,BrushScriptStd,1.351351351,1.317108169,-4,4
A,Chalkboard,1.418439716,1.444606263,-46,-2
A,ChalkboardSE-Regular,1.418439716,1.445019118,-68,-0.5
A,Chalkduster,1.307189542,1.243826212,-33,1.5
A,Champagne&Limousines,1.449275362,1.426650747,-18,1.5
A,ChaparralPro-Regular,1.515151515,1.51260868,-13,2
A,CharlemagneStd-Bold,1.418439716,1.305029995,8,2
A,Charter-Black,1.481481481,1.467157678,-43,1
A,Cochin,1.492537313,1.493294713,-36,0
A,ComicSansMS,1.360544218,1.274499992,-44,1
A,CooperBlackStd,1.369863014,1.370519828,1,0
A,Copperplate,1.904761905,1.866773092,-42,1.5
A,CorsivaHebrew,1.388888889,1.357285039,16,0.5
A,Courier,1.739130435,1.704041755,-28,-0.5
A,CourierNewPS-BoldMT,1.694915254,1.664818891,-38,0.5
A,CourierNewPSMT,1.754385965,1.72378469,-43,1
A,DINAlternate-Bold,1.408450704,1.40062026,-31,0
A,DINCondensed-Bold,1.408450704,1.40062026,1,0.5
A,Damascus,1.388888889,1.357285039,22,0.5
A,DamascusBold,1.388888889,1.357285039,22,0.5
A,DamascusLight,1.388888889,1.357285039,22,0.5
A,DamascusMedium,1.388888889,1.357285039,22,0.5
A,DamascusSemiBold,1.388888889,1.357285039,22,0.5
A,DecoTypeNaskh,1.388888889,1.357285039,-59,0.5
A,DevanagariMT,1.492537313,1.484788007,-37,0.5
A,DevanagariSangamMN,1.470588235,1.450327477,-34,0
A,Didot,1.379310345,1.378915942,-29,0.5
A,DiwanKufi,1.388888889,1.357285039,-88,0.5
A,DiwanMishafi,1.388888889,1.357285039,-6,0.5
A,DiwanMishafiGold,1.388888889,1.357285039,-6,0.5
A,DiwanThuluth,1.388888889,1.357285039,-36,0.5
A,EuphemiaUCAS,1.315789474,1.292772758,-41,0.5
A,Farah,1.388888889,1.357285039,-2,0.5
A,Farisi,1.388888889,1.357285039,-49,0.5
A,Futura-Medium,1.25,1.29743116,-34,0.5
A,GB18030Bitmap,1.324503311,1.297086098,-45,0.5
A,GeezaPro,1.388888889,1.357285039,-21,0.5
A,Geneva,1.324503311,1.298598776,-29,1
A,Georgia,1.428571429,1.419786766,-30,0
A,GiddyupStd,1.526717557,1.357023159,6,2
A,GillSans,1.459854015,1.437548279,-32,0
A,GujaratiMT,1.492537313,1.484788007,-34,0.5
A,GujaratiSangamMN,1.19760479,1.180331752,-23,-0.5
A,GurmukhiMN,1.515151515,1.517378862,-43,0.5
A,GurmukhiSangamMN,1.470588235,1.450327477,-44,0
A,Helvetica,1.398601399,1.378190854,-6,0
A,HelveticaNeue,1.408450704,1.388134014,-32,0
A,Herculanum,1.666666667,1.610751794,-27,0.5
A,HiraKakuPro-W3,1.315789474,1.298314558,-13,0
A,HiraKakuProN-W3,1.315789474,1.298314558,-13,0
A,HiraKakuStd-W8,1.19760479,1.182450884,-11,1
A,HiraKakuStdN-W8,1.19760479,1.182450884,-11,1
A,HiraMaruPro-W4,1.265822785,1.260407766,-14,1
A,HiraMaruProN-W4,1.265822785,1.260407766,-14,1
A,HiraMinPro-W3,1.369863014,1.363849566,-11,1
A,HiraMinProN-W3,1.369863014,1.363849566,-11,1
A,HiraginoSans-W3,1.315789474,1.298314558,-13,0
A,HiraginoSansGB-W3,1.315789474,1.298314558,-13,0
A,HoboStd,1.176470588,1.186206022,-2,1
